GEOID,name,population,groupQuarters_population,pop_below_fpl,pop_above_fpl
41039001101,"Census Tract 11.01, Lane County, Oregon",5768,18,297,5471
41039001102,"Census Tract 11.02, Lane County, Oregon",3239,63,378,2757
41039001201,"Census Tract 12.01, Lane County, Oregon",3748,18,611,3110
41039001202,"Census Tract 12.02, Lane County, Oregon",4177,28,805,3372
41039001301,"Census Tract 13.01, Lane County, Oregon",3534,22,773,2749
41039001302,"Census Tract 13.02, Lane County, Oregon",5087,37,864,4171
41039001400,"Census Tract 14, Lane County, Oregon",2482,7,233,2249
41039001500,"Census Tract 15, Lane County, Oregon",4515,0,1175,3283
41039001600,"Census Tract 16, Lane County, Oregon",5360,21,1e3,4336
41039001700,"Census Tract 17, Lane County, Oregon",5719,67,571,5138
41039001801,"Census Tract 18.01, Lane County, Oregon",5995,124,841,5127
41039001803,"Census Tract 18.03, Lane County, Oregon",4403,39,744,3595
41039001804,"Census Tract 18.04, Lane County, Oregon",3645,7,400,3238
41039001902,"Census Tract 19.02, Lane County, Oregon",6741,13,1598,5009
41039001903,"Census Tract 19.03, Lane County, Oregon",2840,8,847,1956
41039001904,"Census Tract 19.04, Lane County, Oregon",5245,39,686,4461
41039002001,"Census Tract 20.01, Lane County, Oregon",3405,14,551,2854
41039002002,"Census Tract 20.02, Lane County, Oregon",4920,8,762,4104
41039002101,"Census Tract 21.01, Lane County, Oregon",2688,6,731,1957
41039002102,"Census Tract 21.02, Lane County, Oregon",6409,181,1803,4593
41039002201,"Census Tract 22.01, Lane County, Oregon",3675,13,306,3369
41039002202,"Census Tract 22.02, Lane County, Oregon",5904,7,650,5254
41039002301,"Census Tract 23.01, Lane County, Oregon",3661,3,889,2763
41039002302,"Census Tract 23.02, Lane County, Oregon",4784,0,629,4143
41039002401,"Census Tract 24.01, Lane County, Oregon",3931,53,366,3565
41039002403,"Census Tract 24.03, Lane County, Oregon",3955,21,291,3653
41039002404,"Census Tract 24.04, Lane County, Oregon",4194,17,458,3670
41039002501,"Census Tract 25.01, Lane County, Oregon",5047,18,486,4561
41039002503,"Census Tract 25.03, Lane County, Oregon",8686,20,1084,7539
41039002504,"Census Tract 25.04, Lane County, Oregon",3409,7,413,2918
41039002600,"Census Tract 26, Lane County, Oregon",5899,99,691,5150
41039002700,"Census Tract 27, Lane County, Oregon",4179,9,1034,3124
41039002800,"Census Tract 28, Lane County, Oregon",4319,12,768,3521
41039002902,"Census Tract 29.02, Lane County, Oregon",3752,28,612,3107
